Resource,Move Resource Group,Move Subscription,Move Region,Move Support Detail,Strategy - Notes for CSP Migration,URL1_ResourceProviderMigrationSupportGuidance,Name_ResourceProviderMoveGuidance,URL_ARM Extension Resource Types,Name_ARM Extension Resource Types,URL_Azure Resource Provider to ServicesMap,Name_Azure Resource Provider to ServicesMap,Future
Microsoft.AAD/domainservices,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AAD/domainservices,Not a supported Move! - Customers can reconfigure any customizations in the new subscription Note: Azure AADDS Resources for B2C or B2B access will need to be removed and restored to the new subscription please backup all Identity access profiles for re-porivisioning. - Microsoft.AAD/domainservices,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaad,Azure ARM Resource Move Guidance for Microsoft.AAD,No ARM Extension Resource Types Listed for Microsoft.AAD/domainservices,No ARM Extension Resource Types Listed for Microsoft.AAD,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory-domain-services/index.yml#,Resource Provider to Services Map - Microsoft.AAD,Future
microsoft.aadiam/diagnosticsettings,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  microsoft.aadiam/diagnosticsettings,Not a supported Move! - Customer can reconfigure any customizations in the new subscription.  - microsoft.aadiam/diagnosticsettings,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaadiam,Azure ARM Resource Move Guidance for microsoft.aadiam,No ARM Extension Resource Types Listed for microsoft.aadiam/diagnosticsettings,No ARM Extension Resource Types Listed for microsoft.aadiam,The Resource Provider  microsoft.aadiam/diagnosticsettings does not have a Linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,Future
microsoft.aadiam/diagnosticsettingscategories,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  microsoft.aadiam/diagnosticsettingscategories,Not a supported Move! - Customer can reconfigure any customizations in the new subscription.  - microsoft.aadiam/diagnosticsettingscategories,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaadiam,Azure ARM Resource Move Guidance for microsoft.aadiam,No ARM Extension Resource Types Listed for microsoft.aadiam/diagnosticsettingscategories,No ARM Extension Resource Types Listed for microsoft.aadiam,The Resource Provider  microsoft.aadiam/diagnosticsettingscategories does not have a Linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,Future
microsoft.aadiam/privatelinkforazuread,1,1,0,Full Support RG/Sub Resource Type Moves for   microsoft.aadiam/privatelinkforazuread,Full Support RG/Sub Resource Type Moves for microsoft.aadiam/privatelinkforazuread,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaadiam,Azure ARM Resource Move Guidance for microsoft.aadiam,No ARM Extension Resource Types Listed for microsoft.aadiam/privatelinkforazuread,No ARM Extension Resource Types Listed for microsoft.aadiam,The Resource Provider  microsoft.aadiam/privatelinkforazuread does not have a Linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,Future
microsoft.aadiam/tenants,1,1,0,Full Support RG/Sub Resource Type Moves for   microsoft.aadiam/tenants,Full Support RG/Sub Resource Type Moves for microsoft.aadiam/tenants,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaadiam,Azure ARM Resource Move Guidance for microsoft.aadiam,No ARM Extension Resource Types Listed for microsoft.aadiam/tenants,No ARM Extension Resource Types Listed for microsoft.aadiam,The Resource Provider  microsoft.aadiam/tenants does not have a Linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,Future
Microsoft.Addons/supportproviders,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.Addons/supportproviders,Not a supported Move! - Look for more Information in the links. - Microsoft.Addons/supportproviders,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaddons,Azure ARM Resource Move Guidance for Microsoft.Addons,No ARM Extension Resource Types Listed for Microsoft.Addons/supportproviders,No ARM Extension Resource Types Listed for Microsoft.Addons,The Resource Provider core does not have a linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,Future
Microsoft.ADHybridHealthService/aadsupportcases,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/aadsupportcases,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/aadsupportcases,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/aadsupportcases,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.ADHybridHealthService,Future
Microsoft.ADHybridHealthService/addsservices,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/addsservices,Not a supported Move! - Look for more Information in the links. - Microsoft.ADHybridHealthService/addsservices,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/addsservices,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.ADHybridHealthService,Future
Microsoft.ADHybridHealthService/agents,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/agents,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/agents,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/agents,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.ADHybridHealthService,Future
Microsoft.ADHybridHealthService/anonymousapiusers,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/anonymousapiusers,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/anonymousapiusers,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/anonymousapiusers,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.ADHybridHealthService,Future
Microsoft.ADHybridHealthService/configuration,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/configuration,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/configuration,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/configuration,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.AVS,Future
Microsoft.ADHybridHealthService/logs,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/logs,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/logs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/logs,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.Addons,Future
Microsoft.ADHybridHealthService/reports,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/reports,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/reports,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/reports,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.Advisor,Future
Microsoft.ADHybridHealthService/servicehealthmetrics,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/servicehealthmetrics,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/servicehealthmetrics,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/servicehealthmetrics,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.Advisor,Future
